nome,regiao,pib,inflacao,idh,estabilidade,relacoes_internacionais,pib_per_capita,gastos_militares,divida_publica,gini,indice_democracia
Brasil,América do Sul,1920,4.59,0.760,6.0,G20 e BRICS e Mercosul,16051,1.2,74.4,48.9,6.68
Estados Unidos,América do Norte,25460,4.12,0.921,8.5,G7 e OTAN e Five Eyes e AUKUS e QUAD,76399,3.5,123.0,39.8,7.85
China,Ásia,17963,1.97,0.788,7.0,G20 e BRICS,19338,1.7,77.1,38.2,2.12
Alemanha,Europa,4072,6.87,0.942,9.0,G7 e OTAN e União Europeia,52823,1.5,66.1,31.7,8.80
Índia,Ásia,3385,5.66,0.644,5.5,G20 e BRICS e QUAD,8379,2.4,83.0,35.7,7.04
Japão,Ásia,4231,3.27,0.920,8.8,G7 e QUAD,42197,1.2,261.3,32.9,8.33
Canadá,América do Norte,2139,3.88,0.929,8.7,G7 e OTAN e Five Eyes,53247,1.3,107.4,33.3,8.88
França,Europa,2783,4.89,0.903,8.6,G7 e OTAN e União Europeia,42330,1.9,111.6,32.4,8.07
Reino Unido,Europa,3070,7.30,0.929,8.4,G7 e OTAN e Five Eyes e AUKUS,46125,2.3,101.9,35.1,8.54
Austrália,Oceania,1675,5.60,0.951,8.9,G20 e Five Eyes e AUKUS e QUAD,64491,2.0,50.7,34.3,8.71
